oil_proxy,rpoil,woprod,woinv,wip,usip,uscpi
7.575744377358138e-12,81.35304107131657,-6.8922640483590385,-55.41467758445276,-39.911280940201436,-34.05198494683191,-54.388302862813134
7.575744377358138e-12,80.36902329116543,-7.91179403503611,-54.42800405340006,-41.20073953211141,-36.4963527700404,-53.40428508266206
7.575744377358138e-12,79.39459414369765,-7.528047026493823,-54.28121464912431,-41.51883974035394,-37.7404239751977,-52.42985593519427
7.575744377358138e-12,79.27345542506794,-8.196379705271966,-53.77155053992192,-42.05154162715979,-38.51780357695674,-52.3087172165645
7.575744377358138e-12,74.67823747697582,-8.470018317305176,-51.66071724282472,-42.142848754661884,-38.14573418564004,-51.58495048654146
7.575744377358138e-12,68.43368878534852,-10.42043320392645,-52.46983861558226,-42.23510991891709,-36.53093554484184,-50.74712392194169
7.575744377358138e-12,67.4846899668637,-14.723363968415697,-53.30966071107571,-41.65855539317039,-35.28763891550773,-49.79812510345687
7.575744377358138e-12,66.4277218178949,-13.254260007364337,-53.162578204735496,-40.7411912625858,-33.556807342951004,-48.74115695448813
7.575744377358138e-12,68.23737997047499,-10.849895115577283,-53.29335405858069,-40.71097263878147,-32.995573997048666,-47.81091768825672
7.575744377358138e-12,69.98253916819868,-11.119345598225436,-50.80260257421139,-40.99387387362981,-33.567430565705365,-46.88925217776438
7.575744377358138e-12,69.06929081187144,-10.662845699320087,-48.963193159285765,-40.50988400068252,-34.040166463472644,-45.976003821437075
7.575744377358138e-12,68.38978649858859,-9.54680030069403,-45.629776238914474,-40.86579657437187,-33.49498740765671,-45.29649950815423
7.575744377358138e-12,67.82703881201576,-11.271399837371519,-43.033781445280624,-40.987834597657354,-33.925866149847366,-44.73375182158139
7.575744377358138e-12,67.15589535321703,-12.681935601984833,-40.63920594243848,-40.90356845902147,-33.360481006849625,-44.062608362782726
7.575744377358138e-12,60.86126506207654,-13.888731501654092,-39.26362645402082,-40.46248518541728,-32.89056296312651,-43.17470019866971
7.575744377358138e-12,59.762352904517,-16.214227387093388,-36.4250199198234,-39.8438027989485,-32.26224025900956,-42.07578804111017
7.575744377358138e-12,59.000237076409746,-17.931239322770352,-38.65244468824187,-40.417164661040886,-32.278157817327155,-41.313672213002974
7.575744377358138e-12,58.02883170436246,-17.726288797039842,-35.646320578574546,-40.09832371991649,-32.87888094023907,-40.34226684095563
7.575744377358138e-12,54.89002791251522,-17.053475966097494,-33.483453264779996,-40.06659485778738,-33.5953218959516,-40.02055074577805
7.575744377358138e-12,57.27976453144669,-18.11067311724628,-31.722164265458787,-40.49876047349426,-34.73582709788809,-39.593199668039915
7.575744377358138e-12,54.143357776861535,-16.33602947260556,-29.394259190962202,-41.242332359456555,-35.850858216746644,-39.273880610124365
7.575744377358138e-12,50.48414890773648,-16.79720748933869,-28.97451335234871,-41.68656731666272,-37.86748879534326,-38.95557795411224
7.575744377358138e-12,43.16200586561763,-17.97176191494691,-27.71173347325987,-41.27690019311814,-35.897451202627394,-38.63828525005454
7.575744377358138e-12,32.893164922227754,-21.40050083811002,-28.23335739966069,-41.21331610070865,-36.64199387556113,-38.63828525005454
7.575744377358138e-12,48.661845784423235,-23.917459846110205,-28.94904296217703,-41.50638931438408,-37.533349791197566,-38.32199610920367
7.575744377358138e-12,54.871018210656985,-22.271064104083734,-29.082595905019275,-42.042458944013106,-38.15069925636851,-37.37908708031853
7.575744377358138e-12,51.30786485192391,-18.591221025131972,-28.669358194370602,-42.61075056675435,-38.46140677314071,-36.23858741891945
7.575744377358138e-12,48.164655378710336,-19.375656316195773,-27.30805067699407,-43.057044614518134,-38.77028486231484,-35.7244474688776
7.575744377358138e-12,47.343085782650405,-19.522037492226445,-25.159699108390555,-43.528497798644025,-39.6373510188273,-35.51952936438403
7.575744377358138e-12,52.172998343954305,-19.794681419462222,-24.92727661259346,-43.29049278315716,-39.93836299687564,-35.51952936438403
7.575744377358138e-12,51.904650401102685,-16.612813114902565,-24.002539620972584,-44.66644014757253,-40.84707794530618,-35.11094861212598
7.575744377358138e-12,47.62386702167629,-15.544219570071846,-22.104283728098153,-44.84145053120142,-41.230993244182855,-35.21293740220051
7.575744377358138e-12,40.54894005884455,-17.61371253936545,-21.857562588330325,-45.20415771428145,-41.960762937084496,-35.51952936438403
7.575744377358138e-12,38.65945439537825,-20.383664306721357,-20.54530974339241,-44.00376655763597,-40.05813124347799,-35.315030315611295
7.575744377358138e-12,31.104628821896824,-26.138529877828432,-19.03438367914066,-44.585299176294825,-40.68805650506749,-35.21293740220051
7.575744377358138e-12,30.552578687059395,-24.300722996930062,-18.927821051629394,-43.86861772578419,-39.87327896138942,-35.11094861212598
7.575744377358138e-12,35.86727110740344,-23.862211014473814,-17.988208944646885,-43.16728760354863,-38.688383139798134,-34.39992479387553
7.575744377358138e-12,33.45029302418641,-20.580942576412326,-18.02560401824303,-42.83125056559027,-37.99392208593548,-33.995883840175
7.575744377358138e-12,36.52786536931529,-20.182972998981768,-16.94461708668041,-42.21477738765731,-37.393304243650675,-33.79447390300493
0.17159776800757576,38.232943400598344,-16.86643169906756,-17.724914250446204,-41.942231816877495,-35.89026670172865,-33.39286693751592
7.575744377358138e-12,38.71933168395128,-17.146744176158336,-13.944298031901894,-40.97962586157189,-34.79669061285881,-33.09271663714031
7.575744377358138e-12,35.88106665224524,-15.95397004901406,-11.724043851676583,-39.954346599994494,-33.3110811385244,-32.79346454349485
7.575744377358138e-12,33.20767089225404,-16.42828452511435,-11.987138401362017,-39.58096527330741,-32.481563668869,-32.39584970553096
7.575744377358138e-12,31.018321217967014,-15.760175048764495,-12.538505766105914,-38.87607436152638,-32.128445704417175,-32.09867266661519
-0.21955475299242425,28.69081065950303,-17.227502604936035,-10.623525246253166,-38.06225221710764,-31.599886686875436,-31.80237615354946
7.575744377358138e-12,29.53011264755844,-17.016273646076343,-10.127043277572056,-37.18970367763626,-29.64312652885087,-31.114412752195847
7.575744377358138e-12,30.562470207523575,-16.37509138295286,-10.661027164412644,-36.668080418506236,-29.19140706391687,-30.625891995590848
7.575744377358138e-12,32.29335738924698,-16.882587862418177,-10.027609170726691,-36.83508657489551,-28.704848040398474,-30.333920985257407
7.575744377358138e-12,31.43942580548321,-16.519038571675082,-8.798847694952087,-36.67962902713231,-28.0695192559362,-29.94594765669848
7.575744377358138e-12,30.925415658136842,-17.21624757653808,-6.0889088224240595,-35.466131979698844,-27.604638360451986,-29.752523998715446
7.575744377358138e-12,28.903822385317596,-14.898348005426215,-5.412415702477233,-36.030821956479485,-27.240159853745638,-29.559473745709624
0.08613096200757575,24.379891729081578,-16.198615003115265,-4.509747519154303,-34.904709170057686,-26.924213374679084,-29.17448770716544
7.575744377358138e-12,25.80934610998628,-19.296237973061125,-5.1427031150738,-34.159995313988134,-26.83176970594269,-28.886717724403923
7.575744377358138e-12,25.73073171832857,-18.43933681180897,-5.399428034615767,-34.30968612990961,-27.011945297142063,-28.599773481608622
1.0169967410075758,23.469065530288674,-17.67821075545453,-3.537559003366482,-34.06860336942026,-27.17002138971526,-28.21845748096723
7.575744377358138e-12,20.93285431600657,-17.64685994274123,-2.659557377552801,-33.92283970900411,-26.785491263157553,-28.028343355264838
-1.3688211689924243,10.76228649817449,-17.720660663678927,-1.232706954354967,-33.36172050559895,-26.67015436834771,-27.838589977645654
0.4937877630075757,11.403130284633448,-20.027218587729067,-2.1784452348936156,-33.12553996351045,-26.839928280254014,-27.64919598163857
7.575744377358138e-12,17.000214404149062,-17.28998829192483,-3.370335604534148,-32.81342824937707,-26.48670459530257,-27.083156734467593
7.575744377358138e-12,20.015422493177425,-16.888516712920136,-1.6929579471784564,-32.29762416083469,-26.33676298084964,-26.613892616648286
7.575744377358138e-12,21.816371159297603,-17.670925425311907,-0.2895466961352895,-32.64522166021743,-26.605899811896336,-26.426801823067194
7.575744377358138e-12,17.439607326083035,-20.356227941200586,2.280071009464791,-31.735130268929254,-26.453835958224545,-26.2400604055876
7.575744377358138e-12,15.407190155203523,-23.158507567770357,1.395434025333543,-31.812291422035003,-26.394664306607012,-25.960600512486053
-0.3141630969924243,15.904238815071778,-21.173996363541164,0.2894306101352413,-31.712756643663965,-27.046597518029785,-25.77472685302348
7.575744377358138e-12,17.265469474857184,-21.4359618924982,0.23051839315235156,-31.549444671128526,-26.634570297951313,-25.58919804284892
7.575744377358138e-12,18.985987473451814,-17.89982758104702,0.7866283141872827,-31.38197289865775,-26.201496390731336,-25.40401280474157
-1.4171376979924242,22.93709598941399,-14.835133460425368,-0.6679650827630894,-31.18123894966965,-26.61333211161258,-25.034667971206318
7.575744377358138e-12,26.703235949316877,-13.982079114556655,0.49343431102238355,-30.594136692026495,-26.27695505248778,-24.574897046343438
-3.945268175992424,13.8764869199685,-13.423879363581364,1.0513352333506418,-30.783822592688466,-25.22952008995111,-24.117230343602216
7.575744377358138e-12,-3.602725069224334,-15.293748024513661,1.9596334492815686,-30.205750288791364,-24.77658424937107,-23.752599128300176
7.575744377358138e-12,-43.02147345240252,-15.27575770844146,2.391013360355373,-30.524233356819877,-25.447401278061022,-23.934748541139243
7.575744377358138e-12,-62.66969640198718,-16.174265276965798,3.972132437032201,-30.685361153151973,-26.13595704539972,-24.48319598535528
0.4883557970075757,-60.50379102071557,-15.985574313840289,3.3850893984006234,-30.088083162566875,-26.057788853055285,-24.85050585654136
