DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK,CUMRRSHOCKORIG,BCSHOCK,CUMBCSHOCK,MP1_TC,FF4_TC,ED2_TC,ED3_TC,ED4_TC,GS1,EBP,szshock,rrshock83,cumrrshock83,rrshock83b,mp1_vr,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,wu_xia,lm1,lm2,ltr,lnbr,factor1,factor2,factor3,factor4,factor5
1966.666667,3.587339409,3.7,3.488902962,5.4,4.696381066,2.595030801,3.62591303,3.20392461,,,,,,,,,,,5.82,,-0.40264,,,,,,,,,,,5.75,5.147494477,6.164156555,2.959379444,2.438862711,-0.232296982,0.143045315,0.046389111,-0.212387008,0.219036767
1966.75,3.594241798,3.7,3.491951745,5.53,4.666735542,2.569707251,3.621697442,3.205912158,,,,,,,,,,,5.58,,2.3192,,,,,,,,,,,5.75,5.142832464,6.164787403,2.965736876,2.439298916,-0.220106674,0.032851015,0.02460032,-0.179297524,-0.028515245
1966.833333,3.587339409,3.6,3.49286457,5.76,4.650525888,2.553421629,3.625407031,3.212455257,,,,,,,,,,,5.54,,1.4464,,,,,,,,,,,5.75,5.144000006,6.168145224,2.955274796,2.450832669,-0.219874722,-0.022403952,-0.066055026,-0.04427209,-0.086253165
1966.916667,3.589644583,3.8,3.494080376,5.4,4.65396035,2.548116163,3.623807457,3.218635796,,,,,,,,,,,5.2,,-2.4787,,,,,,,,,,,5,5.147494477,6.174202684,2.972975286,2.458733775,0.10301723,0.070557766,-0.235894583,-0.216615076,0.29514624
1967,3.594351718,3.9,3.493472658,4.94,4.652626127,2.556063844,3.630004863,3.221272949,,,,,,,,,,,4.75,,-2.0193,,,,,,,,,,,4,5.146912912,6.177113894,2.983760902,2.478553176,0.070848035,-0.085330859,-0.276306725,-0.102717367,0.089911864
1967.083333,3.582946552,3.8,3.496507561,5,4.643910014,2.52099747,3.636190449,3.219435668,,,,,,,,,,,4.71,,0.56449,,,,,,,,,,,4.75,5.153291594,6.184355055,2.979907723,2.477882035,0.053701188,-0.180148403,-0.275995478,-0.040061271,-0.016712444
1967.166667,3.577291253,3.8,3.496507561,4.53,4.624286303,2.536787272,3.638243838,3.223942965,,,,,,,,,,,4.35,,-2.5449,,,,,,,,,,,4.5,5.163642463,6.193792959,2.966251968,2.504464149,0.458758868,0.087891243,-0.221763259,-0.181877897,0.219017487
1967.25,3.586677833,3.8,3.499533282,4.05,4.605670061,2.57983797,3.642207046,3.227399396,,,,,,,,,,,4.11,,-1.3508,,,,,,,,,,,4,5.160204064,6.198681948,2.964447984,2.51300808,0.280183494,-0.070303376,-0.266852817,-0.140551228,0.065631131
1967.333333,3.577917167,3.8,3.499533282,3.94,4.615912283,2.57276489,3.640502954,3.23064628,,,,,,,,,,,4.15,,-0.30722,,,,,,,,,,,4.13,5.168777995,6.20899236,2.957303247,2.511954211,0.172800569,-0.015031946,-0.036300148,0.003690332,-0.392282852
1967.416667,3.577791457,3.9,3.505557397,3.98,4.615120517,2.587688844,3.643986685,3.235496926,,,,,,,,,,,4.48,,1.2648,,,,,,,,,,,3.5,5.176149733,6.21860012,2.96362222,2.513737031,0.228245702,0.067353734,-0.149859605,-0.188295065,0.158924529
1967.5,3.575511968,3.8,3.5085559,3.79,4.596936381,2.57215411,3.633313889,3.240832992,,,,,,,,,,,5.01,,-0.80346,,,,,,,,,,,3.75,5.18234519,6.227129379,2.982900295,2.534252215,-0.004011446,0.17747994,-0.00813896,-0.139048116,-0.112512091
1967.583333,3.594489101,3.8,3.511545439,3.9,4.591882292,2.5577698,3.640791543,3.245673537,,,,,,,,,,,5.13,,0.65952,,,,,,,,,,,4,5.191288794,6.235978124,2.975988645,2.533538071,0.0039481,0.016064541,0.121069747,-0.258244698,0.078738744
1967.666667,3.592864026,3.8,3.514526067,3.99,4.584763376,2.58618384,3.649722739,3.247541024,,,,,,,,,,,5.24,,0.27063,,,,,,,,,,,3.75,5.196838198,6.243584207,2.993579959,2.546158526,-0.440989382,-0.130016747,0.036747405,0.065916072,-0.317506108
1967.75,3.600976771,4,3.517497837,3.88,4.573060132,2.555520429,3.634000793,3.249094603,,,,,,,,,,,5.37,,-1.3817,,,,,,,,,,,4.13,5.201806466,6.250361268,3.01695546,2.561790527,0.003887008,0.021261631,0.000517107,-0.135284392,0.083843839
