POIL,CPI,OILPROD,OILSTOCKS,WORLDIP,IP
17.438,117.5,57602.02,2019.417643,59.54889,63.1203
16.53,118,57266.86,2033.204712,59.88502,63.2843
15.498,118.5,57691.07,2039.731077,59.77051,63.3155
15.524,119,58847.65,2014.337826,60.24456,63.5859
14.467,119.5,59201.83,2011.574854,60.4902,63.405
13.798,119.9,60885.68,2018.623789,60.49863,63.7184
13.977,120.3,61344.91,2007.084978,60.89434,63.8175
16.266,120.7,61592.04,2013.739685,61.43759,64.1273
17.983,121.2,58696.42,2019.864612,61.43007,64.3162
17.826,121.6,58217.27,2010.702897,61.16666,64.026
19.445,122.2,58619.39,2010.882452,61.66608,64.166
21.04,123.1,59049.53,2023.584716,62.0586,64.222
20.032,123.7,58970.5,2036.075629,61.59916,63.7707
20.005,124.1,59007.52,2024.083526,62.2481,63.8022
19.644,124.5,59525.68,2026.124108,61.86414,63.236
18.522,124.5,60417.96,2059.497879,62.12768,63.8059
19.594,124.8,60500.98,2055.152955,62.09208,63.576
20.091,125.4,61071.16,2036.654989,62.00571,63.5346
19.82,125.9,61831.4,2088.004645,62.2865,63.7465
21.088,126.3,61474.29,2136.350317,62.76772,64.1419
22.641,127.5,60916.28,2100.661042,62.51869,63.7117
22.108,128,61173.75,2070.668948,62.77295,64.3504
20.418,128.6,62077.22,2150.83497,63.03803,64.6721
18.582,128.9,61800.75,2163.219222,62.39232,64.5975
18.237,129.1,61233.28,2199.346901,63.09237,64.7028
16.871,129.9,60404.31,2204.443203,63.31662,64.9174
18.638,130.5,60508.73,2162.016783,63.30716,64.8436
27.174,131.6,56960.86,2147.147454,63.65352,65.043
33.687,132.5,59508.99,2111.081817,63.78128,65.1372
35.922,133.4,59849.21,2121.95081,63.73842,64.6442
32.3,133.7,60667.3,2110.598986,63.43197,63.8853
27.337,134.2,60878.86,2098.128042,63.30069,63.4658
24.959,134.7,60697.76,2086.411115,63.42898,63.1915
20.523,134.8,60386.77,2092.028351,62.98373,62.7585
19.86,134.8,60642.14,2118.934586,62.73341,62.4265
20.823,135.1,59242.38,2070.434604,63.18939,62.5503
21.24,135.6,59065.24,2063.385018,63.47475,63.1756
20.195,136,59257.98,2063.344685,63.57452,63.742
21.42,136.2,60251.68,2075.356761,63.65673,63.8029
21.688,136.6,59554.71,2083.565045,63.62811,63.8503
21.857,137,60594.46,2102.186585,63.81704,64.4151
23.228,137.2,60549.81,2089.693351,63.99663,64.2992
22.465,137.8,60795.82,2095.416198,64.01737,64.2209
19.517,138.2,61204.31,2071.56751,63.50617,63.9602
18.82,138.3,61272.43,2090.947328,63.77747,63.596
18.995,138.6,60435.11,2108.722749,64.2192,64.0409
18.916,139.1,59785.68,2089.321276,64.16077,64.5973
20.243,139.4,60145.73,2093.421298,64.29314,65.0756
20.94,139.7,59017.39,2089.886545,64.10289,65.2831
22.375,140.1,59259.95,2073.515357,64.19169,65.2957
21.759,140.5,59724.93,2073.985164,64.49243,65.8801
21.35,140.8,59711.68,2087.395104,64.07045,65.5581
21.902,141.1,59973.28,2084.250075,64.41599,65.715
21.688,141.7,60771.19,2091.660209,64.52534,66.2013
20.342,142.1,60482.14,2079.247039,64.48543,66.4879
19.407,142.3,60802.91,2105.364601,64.11614,66.5431
19.075,142.8,60618.22,2118.724758,64.61293,66.8264
20.053,143.1,60973.52,2108.257778,65.0715,67.1172
20.347,143.3,60258.58,2119.843651,65.01488,67.0479
20.27,143.8,59555.29,2123.494799,65.19953,67.2498
19.94,144.2,59741.66,2130.005174,65.38712,67.0325
19.07,144.3,59457.49,2138.776509,65.15742,67.1532
17.866,144.5,60063.66,2139.509017,65.16644,67.3586
18.009,144.8,59885.98,2137.02511,65.08855,67.2888
17.514,145,59897.3,2131.526686,65.33089,67.6092
